;V1;V2;V3;A1;A2;A3;U1;U2;U3
;V;V;V;A;A;A;V;V;V
1,217509;9665,265815;-9809,449307;59,66213466;-0,970970168;-1,29462689;4,531194115;19474,71512;-9869,111442;-9605,603681
1,217574;9789,561929;-9690,125038;-223,733005;-0,970970168;-0,970970168;4,854850838;19479,68697;-9466,392033;-10013,29493
1,217639;9913,858043;-9565,828924;-477,2970773;-0,970970168;-0,970970168;4,854850838;19479,68697;-9088,531847;-10391,15512
1,217704;9993,407556;-9371,926987;-720,9174605;-0,970970168;-1,29462689;4,531194115;19365,33454;-8651,009526;-10714,32502
1,217769;10117,70367;-9237,687184;-999,3407556;-0,647313445;-1,29462689;4,854850838;19355,39085;-8238,346428;-11117,04443
1,217834;10237,02794;-9083,560002;-1282,735895;-0,647313445;-1,29462689;4,854850838;19320,58794;-7800,824107;-11519,76383
1,217899;10361,32405;-8919,489132;-1506,4689;-0,647313445;-1,29462689;4,531194115;19280,81319;-7413,020232;-11867,79295
1,217964;10440,87357;-8790,221174;-1774,948506;-0,323656723;-0,970970168;4,531194115;19231,09474;-7015,272667;-12215,82207
1,218029;10525,39492;-8631,122148;-2058,343646;-0,647313445;-1,29462689;4,531194115;19156,51707;-6572,778502;-12583,73857
1,218094;10644,71919;-8432,248366;-2311,907718;-0,647313445;-1,29462689;4,531194115;19076,96756;-6120,340647;-12956,62691
1,218159;10729,24055;-8302,980407;-2555,528101;-0,323656723;-1,29462689;4,854850838;19032,22096;-5747,452306;-13284,76865
1,218224;10808,79006;-8109,07847;-2833,951396;-0,323656723;-1,29462689;4,531194115;18917,86853;-5275,127073;-13642,74146
1,218289;10888,33958;-7900,260998;-3147,177603;-0,323656723;-1,29462689;4,854850838;18788,60057;-4753,083395;-14035,51718
1,218354;10972,86093;-7696,415371;-3445,488277;0;-1,29462689;4,854850838;18669,2763;-4250,927095;-14418,34921
1,218419;11012,63569;-7492,569745;-3728,883416;0;-1,29462689;4,854850838;18505,20543;-3763,686328;-14741,51911
1,218484;11052,41045;-7288,724118;-3952,616421;0;-1,618283613;4,854850838;18341,13456;-3336,107697;-15005,02687
1,218549;11092,1852;-7050,075579;-4216,124183;0,323656723;-1,29462689;5,178507561;18142,26078;-2833,951396;-15308,30939
1,218614;11176,70656;-6841,258108;-4504,491167;0,323656723;-1,29462689;5,178507561;18017,96467;-2336,766941;-15681,19773
1,218679;11216,48132;-6637,412481;-4787,886307;0,323656723;-1,618283613;4,854850838;17853,8938;-1849,526175;-16004,36762
1,218744;11216,48132;-6354,017342;-5041,450379;0,647313445;-1,29462689;4,854850838;17570,49866;-1312,566963;-16257,9317
1,218809;11216,48132;-6145,19987;-5285,070762;0,647313445;-1,29462689;4,854850838;17361,68119;-860,1291081;-16501,55208
1,218874;11216,48132;-5906,551332;-5498,860078;0,647313445;-1,618283613;4,854850838;17123,03265;-407,6912535;-16715,34139
1,218939;11256,25607;-5662,930948;-5767,339684;0,647313445;-1,29462689;5,178507561;16919,18702;104,4087357;-17023,59576
