Tempo;V1;V2;V3;A1;A2;A3;U1;U2;U3
s;V;V;V;A;A;A;V;V;V
0.364000;-7905.232843;-2824.007707;10938.05802;-2.265597058;1.29462689;0.970970168;-5081.225135;-13762.06573;18843.29086
0.364065;-7701.387216;-3107.402847;11017.60753;-2.265597058;1.618283613;0.970970168;-4593.984369;-14125.01038;18718.99475
0.364130;-7497.541589;-3355.995075;11097.15705;-2.265597058;1.618283613;1.29462689;-4141.546514;-14453.15212;18594.69864
0.364195;-7293.695963;-3639.390214;11117.04443;-2.265597058;1.618283613;1.29462689;-3654.305748;-14756.43464;18410.74039
0.364260;-7050.075579;-3927.757199;11181.6784;-2.265597058;1.618283613;1.29462689;-3122.318381;-15109.4356;18231.75398
0.364325;-6846.229953;-4211.152338;11231.39685;-2.58925378;1.618283613;1.618283613;-2635.077614;-15442.54919;18077.6268
0.364390;-6682.159082;-4499.519322;11271.17161;-2.58925378;1.618283613;1.29462689;-2182.63976;-15770.69093;17953.33069
0.364455;-6354.017342;-4673.533882;11310.94636;-2.265597058;1.618283613;1.618283613;-1680.48346;-15984.48025;17664.9637
0.364520;-6150.171715;-4981.788244;11320.89005;-2.265597058;1.618283613;1.941940335;-1168.38347;-16302.6783;17471.06177
0.364585;-5906.551332;-5195.57756;11355.69296;-2.58925378;1.29462689;1.941940335;-710.9737714;-16551.27052;17262.2443
0.364650;-5662.930948;-5439.197943;11365.63665;-2.265597058;1.618283613;2.265597058;-223.733005;-16804.8346;17028.5676
0.364715;-5459.085322;-5648.015415;11395.46772;-2.265597058;1.618283613;1.941940335;188.9300931;-17043.48314;16854.55304
0.364780;-5170.718337;-5886.663953;11310.94636;-2.58925378;1.618283613;1.941940335;715.945616;-17197.61032;16481.6647
0.364845;-4927.097954;-6130.284337;11281.1153;-2.265597058;1.618283613;2.265597058;1203.186382;-17411.39963;16208.21325
0.364910;-4643.702815;-6339.101808;11281.1153;-2.58925378;1.618283613;2.265597058;1695.398993;-17620.2171;15924.81811
0.364975;-4400.082431;-6582.722191;11221.45316;-2.265597058;1.618283613;2.265597058;2182.63976;-17804.17535;15621.53559
0.365040;-4151.490204;-6791.539662;11201.56578;-2.265597058;1.618283613;2.58925378;2640.049459;-17993.10545;15353.05599
0.365105;-3868.095064;-7069.962958;11141.90365;-2.58925378;1.618283613;2.58925378;3201.867894;-18211.86661;15009.99871
0.365170;-3584.699924;-7278.780429;11087.21336;-2.265597058;1.29462689;2.58925378;3694.080505;-18365.99379;14671.91328
0.365235;-3296.33294;-7447.823144;11047.4386;-2.265597058;1.618283613;2.912910503;4151.490204;-18495.26175;14343.77154
0.365300;-3092.487313;-7681.499838;10977.83278;-2.265597058;1.618283613;2.912910503;4589.012524;-18659.33262;14070.32009
0.365365;-2809.092174;-7890.317309;10893.31142;-2.58925378;1.29462689;2.912910503;5081.225135;-18783.62873;13702.40359
0.365430;-2520.725189;-8094.162936;10813.76191;-2.265597058;1.618283613;3.236567225;5573.437746;-18907.92484;13334.4871
0.365495;-2277.104806;-8302.980407;10734.21239;-2.265597058;1.29462689;3.236567225;6025.875601;-19037.1928;13011.3172
0.365560;-1993.709667;-8432.248366;10649.69104;-2.265597058;1.29462689;3.236567225;6438.538699;-19081.9394;12643.4007
0.365625;-1750.089283;-8626.150303;10540.31046;-1.941940335;1.29462689;3.236567225;6876.06102;-19166.46076;12290.39974
0.365690;-1461.722299;-8795.193018;10445.84541;-2.265597058;1.29462689;3.236567225;7333.470719;-19241.03843;11907.56771
0.365755;-1218.101916;-8959.263889;10336.46483;-2.265597058;1.29462689;3.236567225;7741.161972;-19295.72872;11554.56675
0.365820;-934.7067764;-9048.75709;10212.16872;-1.941940335;1.29462689;3.560223948;8114.050314;-19260.92581;11146.87549
0.365885;-686.1145486;-9237.687184;10053.06969;-2.265597058;1.29462689;3.560223948;8551.572635;-19290.75687;10739.18424
0.365950;-442.4941654;-9406.729898;9958.604644;-2.265597058;0.970970168;3.236567225;8964.235733;-19365.33454;10401.09881
0.366015;-159.0990258;-9535.997857;9844.252219;-2.265597058;1.29462689;3.560223948;9376.898831;-19380.25008;10003.35125
0.366080;129.2679584;-9729.899795;9714.984261;-2.265597058;0.970970168;3.560223948;9859.167753;-19444.88406;9585.716302
0.366145;412.6630981;-9829.336686;9565.828924;-2.265597058;0.970970168;3.560223948;10241.99978;-19395.16561;9153.165826
0.366210;656.2834813;-9978.492022;9436.560966;-2.265597058;0.970970168;3.88388067;10634.7755;-19415.05299;8780.277485
0.366275;944.6504655;-10072.95707;9282.433785;-2.265597058;0.647313445;3.560223948;11017.60753;-19355.39085;8337.783319
0.366340;1188.270849;-10187.30949;9153.165826;-2.265597058;0.970970168;3.88388067;11375.58034;-19340.47532;7964.894977
