Time;V1;V2;V3;A1;A2;A3;U1;U2;U3
s;V;V;V;A;A;A;V;V;V
0,5112250;-11122,01627;7303,639652;3853,17953;0,323656723;1,29462689;-0,323656723;-18425,65592;3450,460121;14975,1958
0,5112900;-11206,53763;7094,82218;4126,630981;0;1,29462689;-0,323656723;-18301,35981;2968,191199;15333,16861
0,5113550;-11246,31238;6890,976554;4410,02612;0;1,29462689;-0,323656723;-18137,28894;2480,950433;15656,3385
0,5114200;-11206,53763;6721,933839;4698,393105;0;1,618283613;-0,323656723;-17928,47147;2023,540734;15904,93073
0,5114850;-11246,31238;6488,257145;4981,788244;0;1,618283613;-0,323656723;-17734,56953;1506,4689;16228,10063
0,5115500;-11246,31238;6279,439673;5235,352317;0;1,29462689;-0,323656723;-17525,75206;1044,087357;16481,6647
0,5116150;-11246,31238;6040,791135;5478,9727;0;1,618283613;0;-17287,10352;561,8184347;16725,28508
0,5116800;-11246,31238;5792,198907;5727,564928;-0,323656723;1,618283613;0;-17038,51129;64,63397922;16973,87731
0,5117450;-11206,53763;5508,803767;6001,016378;-0,323656723;1,618283613;-0,323656723;-16715,34139;-492,212611;17207,55401
0,5118100;-11286,08714;5265,183384;6224,749383;-0,323656723;1,618283613;0;-16551,27052;-959,5659992;17510,83652
0,5118750;-11206,53763;5056,365913;6458,426077;-0,647313445;1,618283613;0;-16262,90354;-1402,060165;17664,9637
0,5119400;-11206,53763;4772,970773;6702,04646;-0,323656723;1,618283613;0;-15979,5084;-1929,075687;17908,58409
0,5120050;-11166,76287;4529,35039;6915,835776;-0,323656723;1,941940335;0;-15696,11326;-2386,485387;18082,59865
0,5120700;-11082,24151;4206,180494;7149,51247;-0,647313445;1,941940335;0,323656723;-15288,42201;-2943,331977;18231,75398
0,5121350;-11042,46676;3992,391178;7398,104698;-0,647313445;1,618283613;0;-15034,85793;-3405,71352;18440,57146
0,5122000;-10962,91724;3708,996038;7611,894014;-0,647313445;1,941940335;0,323656723;-14671,91328;-3902,897976;18574,81126
0,5122650;-10918,17064;3425,600899;7815,739641;-0,647313445;1,941940335;0,323656723;-14343,77154;-4390,138742;18733,91028
0,5123300;-10838,62113;3137,233914;8019,585268;-0,970970168;1,941940335;0,323656723;-13975,85504;-4882,351353;18858,2064
0,5123950;-10798,84637;2853,838775;8223,430894;-0,647313445;2,265597058;0,647313445;-13652,68515;-5369,59212;19022,27727
0,5124600;-10714,32502;2645,021303;8392,473609;-0,970970168;1,941940335;0,647313445;-13359,34632;-5747,452306;19106,79863
0,5125250;-10595,00075;2361,626164;8556,54448;-0,970970168;1,941940335;0,647313445;-12956,62691;-6194,918316;19151,54523
0,5125900;-10510,47939;2078,231024;8720,61535;-0,970970168;1,941940335;0,647313445;-12588,71041;-6642,384326;19231,09474
0,5126550;-10430,92988;1789,86404;8914,517288;-1,29462689;1,941940335;0,647313445;-12220,79392;-7124,653248;19345,44716
0,5127200;-10306,63376;1546,243657;9053,728935;-0,970970168;1,941940335;0,647313445;-11852,87742;-7507,485278;19360,3627
0,5127850;-10187,30949;1302,623273;9207,856116;-0,970970168;1,941940335;0,970970168;-11489,93277;-7905,232843;19395,16561
0,5128500;-10063,01338;1014,256289;9371,926987;-1,29462689;1,941940335;0,970970168;-11077,26967;-8357,670697;19434,94037
0,5129150;-9983,463867;730,8611496;9535,997857;-1,29462689;1,941940335;0,970970168;-10714,32502;-8805,136707;19519,46172
0,5129800;-9819,392997;487,2407664;9660,293971;-1,29462689;1,941940335;0,970970168;-10306,63376;-9173,053204;19479,68697
0,5130450;-9695,096883;198,8737822;9819,392997;-1,29462689;1,941940335;0,970970168;-9893,970665;-9620,519214;19514,48988
